Series ID,Year,Period,Label,Value,12-Month % Change
CUURS49ASA0,2010,M01,2010 Jan,224.610,1.8
CUURS49ASA0,2010,M02,2010 Feb,224.620,1.4
CUURS49ASA0,2010,M03,2010 Mar,225.483,1.9
CUURS49ASA0,2010,M04,2010 Apr,225.916,1.9
CUURS49ASA0,2010,M05,2010 May,226.438,1.8
CUURS49ASA0,2010,M06,2010 Jun,225.877,0.9
CUURS49ASA0,2010,M07,2010 Jul,225.991,0.9
CUURS49ASA0,2010,M08,2010 Aug,226.373,0.8
CUURS49ASA0,2010,M09,2010 Sep,226.048,0.4
CUURS49ASA0,2010,M10,2010 Oct,226.794,0.7
CUURS49ASA0,2010,M11,2010 Nov,225.941,0.7
CUURS49ASA0,2010,M12,2010 Dec,226.639,1.3
CUURS49ASA0,2011,M01,2011 Jan,228.652,1.8
CUURS49ASA0,2011,M02,2011 Feb,229.729,2.3
CUURS49ASA0,2011,M03,2011 Mar,232.241,3.0
CUURS49ASA0,2011,M04,2011 Apr,233.319,3.3
CUURS49ASA0,2011,M05,2011 May,233.367,3.1
CUURS49ASA0,2011,M06,2011 Jun,232.328,2.9
CUURS49ASA0,2011,M07,2011 Jul,231.303,2.4
CUURS49ASA0,2011,M08,2011 Aug,231.833,2.4
CUURS49ASA0,2011,M09,2011 Sep,233.022,3.1
CUURS49ASA0,2011,M10,2011 Oct,233.049,2.8
CUURS49ASA0,2011,M11,2011 Nov,232.731,3.0
CUURS49ASA0,2011,M12,2011 Dec,231.567,2.2
CUURS49ASA0,2012,M01,2012 Jan,233.441,2.1
CUURS49ASA0,2012,M02,2012 Feb,234.537,2.1
CUURS49ASA0,2012,M03,2012 Mar,236.941,2.0
CUURS49ASA0,2012,M04,2012 Apr,236.866,1.5
CUURS49ASA0,2012,M05,2012 May,237.032,1.6
CUURS49ASA0,2012,M06,2012 Jun,236.025,1.6
CUURS49ASA0,2012,M07,2012 Jul,235.776,1.9
CUURS49ASA0,2012,M08,2012 Aug,237.222,2.3
CUURS49ASA0,2012,M09,2012 Sep,238.104,2.2
CUURS49ASA0,2012,M10,2012 Oct,240.111,3.0
CUURS49ASA0,2012,M11,2012 Nov,237.675,2.1
