Series ID,Year,Period,Label,Value,12-Month % Change
CUURS49ASA0,2021,M01,2021 Jan,280.178,0.9
CUURS49ASA0,2021,M02,2021 Feb,281.347,1.0
CUURS49ASA0,2021,M03,2021 Mar,282.648,2.2
CUURS49ASA0,2021,M04,2021 Apr,285.808,3.6
CUURS49ASA0,2021,M05,2021 May,287.620,3.9
CUURS49ASA0,2021,M06,2021 Jun,289.218,4.0
CUURS49ASA0,2021,M07,2021 Jul,290.890,3.9
CUURS49ASA0,2021,M08,2021 Aug,291.333,4.0
CUURS49ASA0,2021,M09,2021 Sep,292.209,4.6
CUURS49ASA0,2021,M10,2021 Oct,294.961,5.4
CUURS49ASA0,2021,M11,2021 Nov,296.790,6.0
CUURS49ASA0,2021,M12,2021 Dec,297.925,6.6
CUURS49ASA0,2022,M01,2022 Jan,301.209,7.5
CUURS49ASA0,2022,M02,2022 Feb,302.164,7.4
CUURS49ASA0,2022,M03,2022 Mar,306.679,8.5
CUURS49ASA0,2022,M04,2022 Apr,308.302,7.9
CUURS49ASA0,2022,M05,2022 May,310.649,8.0
CUURS49ASA0,2022,M06,2022 Jun,314.072,8.6
CUURS49ASA0,2022,M07,2022 Jul,313.415,7.7
CUURS49ASA0,2022,M08,2022 Aug,313.608,7.6
CUURS49ASA0,2022,M09,2022 Sep,315.033,7.8
CUURS49ASA0,2022,M10,2022 Oct,317.014,7.5
CUURS49ASA0,2022,M11,2022 Nov,314.633,6.0
CUURS49ASA0,2022,M12,2022 Dec,312.601,4.9
CUURS49ASA0,2023,M01,2023 Jan,318.591,5.8
CUURS49ASA0,2023,M02,2023 Feb,317.571,5.1
CUURS49ASA0,2023,M03,2023 Mar,317.873,3.7
CUURS49ASA0,2023,M04,2023 Apr,320.089,3.8
CUURS49ASA0,2023,M05,2023 May,320.514,3.2
CUURS49ASA0,2023,M06,2023 Jun,322.055,2.5
CUURS49ASA0,2023,M07,2023 Jul,321.931,2.7
CUURS49BSA0,2021,M02,2021 Feb,304.387,1.6
CUURS49BSA0,2021,M04,2021 Apr,309.419,3.8
CUURS49BSA0,2021,M06,2021 Jun,309.497,3.2
CUURS49BSA0,2021,M08,2021 Aug,311.167,3.7
CUURS49BSA0,2021,M10,2021 Oct,313.265,3.8
CUURS49BSA0,2021,M12,2021 Dec,315.805,4.2
CUURS49BSA0,2022,M02,2022 Feb,320.195,5.2
CUURS49BSA0,2022,M04,2022 Apr,324.878,5.0
CUURS49BSA0,2022,M06,2022 Jun,330.539,6.8
CUURS49BSA0,2022,M08,2022 Aug,328.871,5.7
CUURS49BSA0,2022,M10,2022 Oct,332.062,6.0
CUURS49BSA0,2022,M12,2022 Dec,331.222,4.9
CUURS49BSA0,2023,M02,2023 Feb,337.173,5.3
CUURS49BSA0,2023,M04,2023 Apr,338.496,4.2
CUURS49BSA0,2023,M06,2023 Jun,340.056,2.9
