DATE,ATNHPIUS12420Q
1977-04-01,39.16
1977-07-01,40.70
1977-10-01,43.25
1978-01-01,44.42
1978-04-01,46.42
1978-07-01,48.11
1978-10-01,49.34
1979-01-01,52.29
1979-04-01,52.71
1979-07-01,56.00
1979-10-01,59.10
1980-01-01,58.35
1980-04-01,63.67
1980-07-01,60.57
1980-10-01,61.4
1981-01-01,63.46
1981-04-01,66.52
1981-07-01,68.54
1981-10-01,57.25
1982-01-01,69.15
1982-04-01,64.16
1982-07-01,62.36
1982-10-01,72.62
1983-01-01,74.37
1983-04-01,77.31
1983-07-01,78.05
1983-10-01,81.36
1984-01-01,82.44
1984-04-01,86.23
1984-07-01,89.85
1984-10-01,91.42
1985-01-01,93.59
1985-04-01,96.73
1985-07-01,96.43
1985-10-01,96.49
1986-01-01,96.84
1986-04-01,98.62
1986-07-01,97.64
1986-10-01,95.70
1987-01-01,93.29
1987-04-01,91.62
1987-07-01,85.05
1987-10-01,81.41
1988-01-01,79.29
1988-04-01,91.36
1988-07-01,75.26
1988-10-01,73.72
1989-01-01,73.32
1989-04-01,72.91
1989-07-01,73.97
1989-10-01,72.98
1990-01-01,72.73
1990-04-01,73.10
1990-07-01,72.78
1990-10-01,72.93
1991-01-01,75.04
1991-04-01,76.78
1991-07-01,77.89
1991-10-01,78.34
1992-01-01,80.24
1992-04-01,82.13
1992-07-01,84.39
1992-10-01,85.65
1993-01-01,87.74
1993-04-01,89.79
1993-07-01,93.01
1993-10-01,94.94
1994-01-01,97.14
1994-04-01,99.81
1994-07-01,100.31
1994-10-01,100.23
1995-01-01,100.00
1995-04-01,102.17
1995-07-01,104.11
1995-10-01,105.01
1996-01-01,105.83
1996-04-01,106.17
1996-07-01,106.19
1996-10-01,107.18
1997-01-01,106.83
1997-04-01,107.15
1997-07-01,107.26
1997-10-01,109.04
1998-01-01,110.48
1998-04-01,111.48
1998-07-01,113.14
1998-10-01,114.66
1999-01-01,116.17
1999-04-01,119.72
1999-07-01,123.15
1999-10-01,126.28
2000-01-01,130.04
2000-04-01,135.30
2000-07-01,139.93
2000-10-01,142.10
2001-01-01,147.81
2001-04-01,149.94
2001-07-01,149.54
2001-10-01,150.32
2002-01-01,149.97
2002-04-01,150.33
2002-07-01,152.73
2002-10-01,153.32
2003-01-01,153.3
2003-04-01,153.30
2003-07-01,152.18
2003-10-01,152.97
2004-01-01,153.09
2004-04-01,153.77
2004-07-01,153.82
2004-10-01,156.23
2005-01-01,157.13
2005-04-01,160.56
2005-07-01,163.58
2005-10-01,165.64
2006-01-01,167.68
2006-04-01,173.22
2006-07-01,176.77
2006-10-01,180.39
2007-01-01,184.53
2007-04-01,189.97
2007-07-01,191.83
2007-10-01,193.39
2008-01-01,196.69
2008-04-01,197.78
2008-07-01,197.24
2008-10-01,197.71
2009-01-01,198.16
2009-04-01,196.05
2009-07-01,194.48
2009-10-01,193.98
2010-01-01,193.17
2010-04-01,193.04
2010-07-01,194.53
2010-10-01,193.18
2011-01-01,189.19
2011-04-01,189.70
2011-07-01,191.55
2011-10-01,193.60
2012-01-01,193.17
2012-04-01,194.90
2012-07-01,198.12
2012-10-01,200.57
2013-01-01,203.97
2013-04-01,209.74
2013-07-01,216.28
2013-10-01,220.23
2014-01-01,225.60
2014-04-01,236.39
2014-07-01,241.62
2014-10-01,244.11
2015-01-01,248.02
2015-04-01,258.04
2015-07-01,265.62
2015-10-01,266.20
2016-01-01,272.62
2016-04-01,280.46
2016-07-01,286.81
2016-10-01,288.30
2017-01-01,292.79
2017-04-01,302.57
2017-07-01,305.63
2017-10-01,306.59
2018-01-01,310.98
2018-04-01,319.15
2018-07-01,323.48
2018-10-01,323.32
2019-01-01,331.14
2019-04-01,338.62
2019-07-01,343.43
2019-10-01,346.56
2020-01-01,352.38
2020-04-01,357.96
2020-07-01,364.64
2020-10-01,378.20
2021-01-01,394.32
2021-04-01,440.74
2021-07-01,484.55
2021-10-01,501.63
2022-01-01,526.33
2022-04-01,577.79
2022-07-01,569.11
2022-10-01,538.54
2023-01-01,533.01
